entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,hold_bars,exit_reason,confidence,hexagram,upper_gua,lower_gua,position_factor
2026-06-18 03:00:00,2026-06-20 15:00:00,SHORT,64275.0,64163.5,0.094,60,time,0.9809,风水涣,巽,坎,0.8
2026-06-20 15:00:00,2026-06-23 03:00:00,SHORT,64168.0,64069.6,0.073,60,time,0.8228,雷地豫,震,坤,1.0
2026-06-23 06:00:00,2026-06-24 16:00:00,SHORT,62942.7,59638.2082,5.171,34,tp,0.9106,雷地豫,震,坤,1.0
2026-06-24 16:00:00,2026-06-25 05:00:00,LONG,59855.1,61650.753,2.918,13,tp,0.9553,天地否,乾,坤,0.5
2026-06-25 05:00:00,2026-06-25 13:00:00,SHORT,61597.8,59287.8825,3.671,8,tp,0.9727,地天泰,坤,乾,0.8
2026-06-25 13:00:00,2026-06-25 14:00:00,LONG,58297.3,60046.219,2.918,1,tp,0.9782,风水涣,巽,坎,0.8
2026-06-25 14:00:00,2026-06-26 10:00:00,LONG,59468.7,59319.0,-0.332,20,end,0.9341,风泽中孚,巽,兑,0.8
2026-06-26 12:00:00,2026-06-27 18:00:00,LONG,59188.3,60572.1,2.257,30,time,0.7507,风山渐,巽,艮,0.8
2026-06-27 18:00:00,2026-06-30 06:00:00,SHORT,60568.6,59590.0,1.536,60,time,0.9939,泽山咸,兑,艮,1.0
2026-06-30 06:00:00,2026-07-02 09:00:00,SHORT,59588.7,61376.361,-3.082,51,sl,0.9726,山天大畜,艮,乾,0.5
2026-07-02 11:00:00,2026-07-04 18:00:00,SHORT,61351.9,63169.7,-3.045,55,end,0.7594,地雷复,坤,震,1.0
2026-07-05 02:00:00,2026-07-06 13:00:00,LONG,62698.8,61570.2216,-1.88,35,sl,0.8669,山泽损,艮,兑,1.5
2026-07-06 13:00:00,2026-07-06 16:00:00,LONG,61773.7,63626.911,2.918,3,tp,0.9713,天雷无妄,乾,震,0.5
2026-07-06 16:00:00,2026-07-09 04:00:00,SHORT,63735.3,62451.3,1.935,60,time,0.517,风雷益,巽,震,1.0
2026-07-09 04:00:00,2026-07-10 05:00:00,LONG,62452.2,64120.3,2.589,25,time,0.8963,雷风恒,震,巽,0.5
2026-07-10 05:00:00,2026-07-12 17:00:00,SHORT,64120.4,64084.2,-0.024,60,time,0.7351,泽雷随,兑,震,1.0
