entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,hold_bars,exit_reason,confidence,hexagram
2026-04-29 03:00:00,2026-05-01 15:00:00,SHORT,2311.63,2307.86,0.083,60,time,0.9062,水山蹇
2026-05-01 15:00:00,2026-05-04 03:00:00,SHORT,2307.86,2385.09,-3.428,60,time,0.7022,雷火丰
2026-05-04 03:00:00,2026-05-06 15:00:00,SHORT,2385.09,2359.06,1.012,60,time,0.9918,泽火革
2026-05-06 15:00:00,2026-05-07 15:00:00,SHORT,2359.06,2288.2882,2.921,24,tp,0.8605,火山旅
2026-05-07 15:00:00,2026-05-10 03:00:00,SHORT,2294.81,2327.93,-1.524,60,time,0.6342,火雷噬嗑
2026-05-10 03:00:00,2026-05-12 05:00:00,LONG,2327.93,2310.5,-0.829,50,time,0.9639,风雷益
2026-05-12 05:00:00,2026-05-13 15:00:00,SHORT,2310.51,2241.1947,2.921,34,tp,0.9425,山地剥
2026-05-13 15:00:00,2026-05-14 02:00:00,LONG,2236.69,2251.4,0.577,11,end,0.9444,泽雷随
2026-05-14 03:00:00,2026-05-16 05:00:00,LONG,2242.21,2225.38,-0.83,50,time,0.9843,雷地豫
2026-05-16 05:00:00,2026-05-17 23:00:00,SHORT,2225.38,2108.5476,5.171,42,tp,0.9484,泽风大过
2026-05-17 23:00:00,2026-05-19 00:00:00,LONG,2130.63,2136.06,0.175,25,time,0.6442,泽山咸
2026-05-19 00:00:00,2026-05-21 12:00:00,SHORT,2136.15,2117.28,0.804,60,time,0.9753,火山旅
2026-05-21 12:00:00,2026-05-22 13:00:00,LONG,2117.27,2130.12,0.527,25,time,0.8395,山雷颐
2026-05-22 13:00:00,2026-05-22 19:00:00,SHORT,2130.14,2066.2358,2.921,6,tp,0.9896,山地剥
2026-05-22 19:00:00,2026-05-23 20:00:00,LONG,2065.75,2127.7225,2.918,25,tp,0.9183,泽雷随
2026-05-23 20:00:00,2026-05-26 08:00:00,SHORT,2146.2,2097.22,2.203,60,time,0.9622,泽风大过
2026-05-26 08:00:00,2026-05-28 03:00:00,SHORT,2097.25,1987.1444,5.171,43,tp,0.9204,水山蹇
2026-05-28 03:00:00,2026-05-29 02:00:00,LONG,1981.68,1999.25,0.806,23,end,0.9626,雷水解
2026-05-29 03:00:00,2026-05-30 04:00:00,LONG,2002.87,2010.9,0.321,25,time,0.6343,山雷颐
2026-05-30 04:00:00,2026-05-31 05:00:00,LONG,2010.89,2030.11,0.875,25,time,0.8342,泽火革
2026-05-31 05:00:00,2026-06-02 15:00:00,SHORT,2030.12,1923.5387,5.171,58,tp,0.9951,泽山咸
2026-06-02 15:00:00,2026-06-02 23:00:00,SHORT,1915.04,1857.5888,2.921,8,tp,0.9234,雷火丰
2026-06-02 23:00:00,2026-06-03 20:00:00,LONG,1859.91,1790.1634,-3.829,21,sl,0.6807,天雷无妄
