entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,hold_bars,exit_reason,confidence,hexagram
2026-04-29 03:00:00,2026-05-01 15:00:00,SHORT,84.59,84.46,0.074,60,time,0.8684,雷风恒
2026-05-01 15:00:00,2026-05-04 03:00:00,SHORT,84.46,85.41,-1.205,60,time,0.9658,泽雷随
2026-05-04 03:00:00,2026-05-06 08:00:00,SHORT,85.42,88.6232,-3.832,53,sl,0.9851,泽风大过
2026-05-06 08:00:00,2026-05-08 10:00:00,LONG,89.03,88.63,-0.529,50,time,0.5519,雷泽归妹
2026-05-08 10:00:00,2026-05-08 17:00:00,LONG,88.63,91.2889,2.918,7,tp,0.6698,泽山咸
2026-05-08 17:00:00,2026-05-09 18:00:00,LONG,91.67,93.38,1.784,25,time,0.722,雷地豫
2026-05-09 18:00:00,2026-05-10 18:00:00,SHORT,93.38,96.8818,-3.832,24,sl,0.8127,山水蒙
2026-05-10 20:00:00,2026-05-13 14:00:00,LONG,94.51,91.9582,-2.779,66,sl,0.5524,泽风大过
2026-05-13 14:00:00,2026-05-14 02:00:00,SHORT,91.77,90.58,1.217,12,end,0.6592,雷天大壮
2026-05-14 03:00:00,2026-05-16 05:00:00,LONG,89.94,88.57,-1.603,50,time,0.9688,雷山小过
2026-05-16 05:00:00,2026-05-17 23:00:00,SHORT,88.58,83.9295,5.171,42,tp,0.9974,泽地萃
2026-05-17 23:00:00,2026-05-19 00:00:00,LONG,85.23,85.58,0.33,25,time,0.5322,水山蹇
2026-05-19 00:00:00,2026-05-21 12:00:00,SHORT,85.59,85.76,-0.279,60,time,0.9857,山火贲
2026-05-21 12:00:00,2026-05-23 07:00:00,LONG,85.75,82.5344,-3.829,43,sl,0.9835,山泽损
2026-05-23 07:00:00,2026-05-23 20:00:00,LONG,82.25,86.5681,5.167,13,tp,0.9179,水雷屯
2026-05-23 20:00:00,2026-05-26 08:00:00,SHORT,87.08,84.45,2.941,60,time,0.9439,雷天大壮
2026-05-26 08:00:00,2026-05-28 03:00:00,LONG,84.45,81.2831,-3.829,43,sl,0.7279,水泽节
2026-05-28 03:00:00,2026-05-29 02:00:00,LONG,80.73,81.56,0.948,23,end,0.8698,水雷屯
2026-05-29 03:00:00,2026-05-30 04:00:00,LONG,81.63,82.33,0.777,25,time,0.6611,泽风大过
2026-05-30 04:00:00,2026-06-01 06:00:00,LONG,82.34,81.45,-1.161,50,time,0.8576,泽山咸
2026-06-01 06:00:00,2026-06-02 14:00:00,SHORT,81.45,77.1739,5.171,32,tp,0.836,泽地萃
2026-06-02 14:00:00,2026-06-02 22:00:00,SHORT,77.44,73.3744,5.171,8,tp,0.9597,雷水解
2026-06-03 00:00:00,2026-06-03 19:00:00,SHORT,74.84,72.0335,3.671,19,tp,0.9962,天泽履
2026-06-03 21:00:00,2026-06-04 01:00:00,SHORT,72.81,70.0796,3.671,4,tp,0.6801,天泽履
2026-06-04 02:00:00,2026-06-04 11:00:00,SHORT,70.07,67.4424,3.671,9,tp,0.8327,天水讼
2026-06-04 12:00:00,2026-06-05 02:00:00,SHORT,70.12,67.4905,3.671,14,tp,0.683,天风姤
2026-06-05 02:00:00,2026-06-05 06:00:00,SHORT,67.33,64.8051,3.671,4,tp,0.9817,天地否
2026-06-05 06:00:00,2026-06-05 19:00:00,SHORT,65.04,62.601,3.671,13,tp,0.5219,天雷无妄
2026-06-06 00:00:00,2026-06-06 04:00:00,SHORT,64.68,62.2545,3.671,4,tp,0.9813,风天小畜
2026-06-06 08:00:00,2026-06-07 09:00:00,SHORT,63.17,66.0127,-4.583,25,sl,0.5871,天风姤
2026-06-07 11:00:00,2026-06-09 13:00:00,LONG,65.04,65.86,1.18,50,time,0.6143,天地否
2026-06-09 13:00:00,2026-06-10 21:00:00,SHORT,65.85,62.3929,5.171,32,tp,0.9635,泽山咸
2026-06-10 21:00:00,2026-06-11 11:00:00,LONG,62.6,65.8865,5.167,14,tp,0.7976,雷山小过
2026-06-11 11:00:00,2026-06-12 15:00:00,SHORT,65.89,68.3609,-3.832,28,sl,0.6801,雷泽归妹
2026-06-12 15:00:00,2026-06-13 02:00:00,SHORT,67.26,66.98,0.336,11,end,0.9252,水泽节
2026-06-13 03:00:00,2026-06-13 21:00:00,LONG,66.89,68.8967,2.918,18,tp,0.9787,泽山咸
2026-06-13 21:00:00,2026-06-15 12:00:00,LONG,69.27,72.9067,5.167,39,tp,0.5598,雷山小过
2026-06-15 12:00:00,2026-06-17 14:00:00,LONG,72.85,72.38,-0.725,50,time,0.6465,天地否
2026-06-17 14:00:00,2026-06-18 15:00:00,SHORT,72.39,68.5895,5.171,25,tp,0.5863,山泽损
2026-06-18 15:00:00,2026-06-20 05:00:00,LONG,68.45,72.0436,5.167,38,tp,0.901,水雷屯
2026-06-20 05:00:00,2026-06-22 07:00:00,LONG,71.8,74.11,3.135,50,time,0.5121,水雷屯
2026-06-22 07:00:00,2026-06-23 06:00:00,SHORT,74.11,70.2192,5.171,23,tp,0.9985,泽地萃
2026-06-23 06:00:00,2026-06-24 16:00:00,SHORT,70.3,66.6092,5.171,34,tp,0.9324,雷水解
2026-06-24 16:00:00,2026-06-24 22:00:00,LONG,66.54,68.5362,2.918,6,tp,0.5913,雷水解
2026-06-25 00:00:00,2026-06-25 13:00:00,SHORT,67.71,65.1709,3.671,13,tp,0.6565,风泽中孚
2026-06-25 13:00:00,2026-06-25 14:00:00,LONG,64.25,66.1775,2.918,1,tp,0.9859,风水涣
2026-06-25 14:00:00,2026-06-25 23:00:00,LONG,66.38,68.3714,2.918,9,tp,0.8277,风水涣
2026-06-26 07:00:00,2026-06-28 02:00:00,SHORT,70.78,70.72,0.005,43,end,0.644,雷天大壮
2026-06-28 03:00:00,2026-06-29 03:00:00,LONG,70.87,72.9961,2.918,24,tp,0.5853,泽风大过
2026-06-29 03:00:00,2026-07-01 05:00:00,LONG,72.69,75.25,3.44,50,time,0.6437,雷风恒
2026-07-01 05:00:00,2026-07-01 16:00:00,SHORT,75.25,78.0719,-3.832,11,sl,0.5501,雷泽归妹
2026-07-01 16:00:00,2026-07-02 10:00:00,SHORT,77.17,80.0639,-3.832,18,sl,0.9489,天泽履
