entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,hold_bars,exit_reason,confidence,hexagram,upper_gua,lower_gua,position_factor
2026-04-29 03:00:00,2026-05-01 15:00:00,SHORT,3.273,3.246,0.745,60,time,0.9631,水山蹇,坎,艮,1.0
2026-05-01 15:00:00,2026-05-04 03:00:00,SHORT,3.247,3.347,-3.162,60,time,0.9856,泽地萃,兑,坤,1.0
2026-05-04 09:00:00,2026-05-06 10:00:00,SHORT,3.41,3.5379,-3.832,49,sl,0.9445,雷地豫,震,坤,1.0
2026-05-06 10:00:00,2026-05-08 16:00:00,SHORT,3.543,3.6759,-3.832,54,sl,0.92,雷地豫,震,坤,1.0
2026-05-08 16:00:00,2026-05-09 00:00:00,SHORT,3.679,3.817,-3.832,8,sl,0.597,雷泽归妹,震,兑,1.0
2026-05-09 06:00:00,2026-05-09 14:00:00,LONG,3.69,3.6236,-1.88,8,sl,0.6868,山天大畜,艮,乾,1.5
2026-05-09 14:00:00,2026-05-09 18:00:00,SHORT,3.628,3.7368,-3.082,4,sl,0.7645,山雷颐,艮,震,0.8
2026-05-09 18:00:00,2026-05-10 00:00:00,SHORT,3.71,3.8213,-3.082,6,sl,0.9199,山火贲,艮,离,0.8
2026-05-10 00:00:00,2026-05-10 05:00:00,SHORT,3.748,3.8604,-3.082,5,sl,0.6104,泽山咸,兑,艮,0.8
2026-05-10 05:00:00,2026-05-10 07:00:00,SHORT,3.908,4.0546,-3.832,2,sl,0.7261,泽水困,兑,坎,1.0
2026-05-10 07:00:00,2026-05-10 13:00:00,SHORT,4.002,4.1521,-3.832,6,sl,0.8623,雷天大壮,震,乾,1.0
2026-05-11 08:00:00,2026-05-12 01:00:00,SHORT,3.923,3.8053,2.921,17,tp,0.9742,山天大畜,艮,乾,0.8
2026-05-12 01:00:00,2026-05-12 16:00:00,SHORT,3.806,3.6918,2.921,15,tp,0.98,水雷屯,坎,震,0.8
2026-05-12 16:00:00,2026-05-14 02:00:00,LONG,3.698,3.615,-2.324,34,end,0.8441,泽雷随,兑,震,1.0
2026-05-14 03:00:00,2026-05-14 14:00:00,LONG,3.573,3.6802,2.918,11,tp,0.9896,雷地豫,震,坤,0.5
2026-05-14 14:00:00,2026-05-15 13:00:00,LONG,3.724,3.6123,-3.079,23,sl,0.8863,水泽节,坎,兑,0.5
2026-05-15 13:00:00,2026-05-16 14:00:00,LONG,3.542,3.505,-1.124,25,time,0.8514,水泽节,坎,兑,0.5
2026-05-16 14:00:00,2026-05-17 12:00:00,LONG,3.505,3.6102,2.918,22,tp,0.666,泽火革,兑,离,0.5
2026-05-17 12:00:00,2026-05-17 23:00:00,SHORT,3.593,3.4852,2.921,11,tp,0.9255,雷山小过,震,艮,0.5
2026-05-17 23:00:00,2026-05-20 01:00:00,LONG,3.472,3.461,-0.397,50,time,0.7439,水山蹇,坎,艮,1.0
2026-05-20 01:00:00,2026-05-20 06:00:00,LONG,3.461,3.5648,2.918,5,tp,0.9571,山雷颐,艮,震,0.5
2026-05-20 06:00:00,2026-05-21 01:00:00,LONG,3.578,3.6853,2.918,19,tp,0.6823,雷水解,震,坎,0.5
2026-05-21 01:00:00,2026-05-22 19:00:00,SHORT,3.663,3.4707,5.171,42,tp,0.9883,雷地豫,震,坤,1.0
2026-05-22 20:00:00,2026-05-23 00:00:00,SHORT,3.499,3.3153,5.171,4,tp,0.9925,泽雷随,兑,震,1.0
2026-05-23 00:00:00,2026-05-23 18:00:00,LONG,3.333,3.433,2.918,18,tp,0.8097,雷泽归妹,震,兑,0.5
2026-05-23 18:00:00,2026-05-26 00:00:00,SHORT,3.43,3.3014,3.671,54,tp,0.7596,山雷颐,艮,震,0.8
2026-05-26 00:00:00,2026-05-26 14:00:00,SHORT,3.288,3.3866,-3.082,14,sl,0.9006,雷水解,震,坎,0.5
2026-05-26 14:00:00,2026-05-27 23:00:00,SHORT,3.34,3.1646,5.171,33,tp,0.9942,泽水困,兑,坎,1.0
2026-05-27 23:00:00,2026-05-28 11:00:00,LONG,3.095,3.0022,-3.079,12,sl,0.7352,水泽节,坎,兑,0.5
2026-05-28 15:00:00,2026-05-29 02:00:00,SHORT,3.01,3.037,-0.978,11,end,0.4914,山天大畜,艮,乾,0.8
2026-05-29 03:00:00,2026-05-31 15:00:00,SHORT,3.032,2.991,1.273,60,time,0.9513,山天大畜,艮,乾,0.5
2026-05-31 15:00:00,2026-06-02 14:00:00,LONG,2.991,2.8788,-3.829,47,sl,0.8426,雷山小过,震,艮,1.0
2026-06-02 14:00:00,2026-06-02 23:00:00,SHORT,2.843,2.7577,2.921,9,tp,0.825,水泽节,坎,兑,0.5
2026-06-02 23:00:00,2026-06-04 01:00:00,LONG,2.802,2.6969,-3.829,26,sl,0.7307,泽天夬,兑,乾,1.0
2026-06-04 01:00:00,2026-06-05 03:00:00,LONG,2.665,2.5651,-3.829,26,sl,0.5852,泽雷随,兑,震,1.0
2026-06-05 03:00:00,2026-06-05 06:00:00,SHORT,2.569,2.4727,3.671,3,tp,0.9496,雷山小过,震,艮,0.8
2026-06-05 06:00:00,2026-06-05 16:00:00,SHORT,2.494,2.4005,3.671,10,tp,0.721,水雷屯,坎,震,0.8
2026-06-05 16:00:00,2026-06-05 18:00:00,SHORT,2.476,2.3832,3.671,2,tp,0.6105,天山遁,乾,艮,0.8
2026-06-05 21:00:00,2026-06-06 04:00:00,SHORT,2.492,2.3986,3.671,7,tp,0.4892,山天大畜,艮,乾,0.8
2026-06-06 06:00:00,2026-06-07 03:00:00,SHORT,2.419,2.5279,-4.583,21,sl,0.5123,天山遁,乾,艮,0.8
2026-06-07 03:00:00,2026-06-07 22:00:00,LONG,2.53,2.6059,2.918,19,tp,0.6219,雷天大壮,震,乾,0.8
2026-06-07 22:00:00,2026-06-09 00:00:00,SHORT,2.553,2.4764,2.921,26,tp,0.5186,山天大畜,艮,乾,0.8
2026-06-09 00:00:00,2026-06-09 06:00:00,SHORT,2.467,2.541,-3.082,6,sl,0.8157,雷水解,震,坎,0.8
2026-06-09 06:00:00,2026-06-10 19:00:00,SHORT,2.526,2.3934,5.171,37,tp,0.9891,山水蒙,艮,坎,1.0
2026-06-10 19:00:00,2026-06-11 03:00:00,SHORT,2.4,2.49,-3.832,8,sl,0.723,雷火丰,震,离,1.0
2026-06-11 03:00:00,2026-06-13 02:00:00,LONG,2.489,2.504,0.522,47,end,0.7916,火水未济,离,坎,1.0
2026-06-13 03:00:00,2026-06-15 05:00:00,LONG,2.501,2.603,3.996,50,time,0.9818,山泽损,艮,兑,1.0
2026-06-15 05:00:00,2026-06-15 15:00:00,LONG,2.604,2.7407,5.167,10,tp,0.9509,雷火丰,震,离,1.0
2026-06-15 15:00:00,2026-06-16 00:00:00,LONG,2.738,2.8817,5.167,9,tp,0.9025,雷天大壮,震,乾,1.0
2026-06-16 00:00:00,2026-06-16 01:00:00,LONG,2.974,2.9205,-1.88,1,sl,0.9265,雷天大壮,震,乾,1.5
2026-06-16 01:00:00,2026-06-16 02:00:00,LONG,2.925,2.8724,-1.88,1,sl,0.9393,天泽履,乾,兑,1.5
2026-06-16 02:00:00,2026-06-16 08:00:00,LONG,2.797,3.0068,7.416,6,tp,0.9374,泽风大过,兑,巽,1.5
2026-06-16 08:00:00,2026-06-16 09:00:00,LONG,3.003,2.9489,-1.88,1,sl,0.9151,天地否,乾,坤,1.5
2026-06-16 09:00:00,2026-06-16 17:00:00,LONG,2.948,3.1691,7.415,8,tp,0.8907,天地否,乾,坤,1.5
2026-06-16 17:00:00,2026-06-17 00:00:00,LONG,3.183,3.4217,7.416,7,tp,0.6764,天地否,乾,坤,1.5
2026-06-17 21:00:00,2026-06-18 05:00:00,SHORT,3.249,3.0784,5.171,8,tp,0.9442,天地否,乾,坤,1.0
2026-06-18 05:00:00,2026-06-18 16:00:00,SHORT,3.09,2.9278,5.171,11,tp,0.5845,天地否,乾,坤,1.0
2026-06-18 16:00:00,2026-06-18 23:00:00,LONG,2.96,3.1154,5.167,7,tp,0.8806,地天泰,坤,乾,1.0
2026-06-18 23:00:00,2026-06-19 04:00:00,SHORT,3.208,3.0396,5.171,5,tp,0.9675,天雷无妄,乾,震,1.0
2026-06-19 04:00:00,2026-06-19 13:00:00,LONG,3.001,3.091,2.918,9,tp,0.5869,地天泰,坤,乾,0.8
2026-06-19 13:00:00,2026-06-19 19:00:00,SHORT,3.112,3.0186,2.921,6,tp,0.9747,泽山咸,兑,艮,0.8
2026-06-19 19:00:00,2026-06-21 01:00:00,LONG,3.022,2.977,-1.569,30,time,0.5749,泽山咸,兑,艮,0.8
2026-06-21 01:00:00,2026-06-21 10:00:00,LONG,2.977,3.0663,2.918,9,tp,0.7341,水泽节,坎,兑,0.5
2026-06-21 12:00:00,2026-06-21 15:00:00,SHORT,3.04,3.1312,-3.082,3,sl,0.7596,泽山咸,兑,艮,0.5
2026-06-21 15:00:00,2026-06-23 06:00:00,SHORT,3.114,2.9505,5.171,39,tp,0.969,雷天大壮,震,乾,1.0
2026-06-23 06:00:00,2026-06-24 17:00:00,SHORT,2.897,2.7449,5.171,35,tp,0.6084,水雷屯,坎,震,1.0
2026-06-24 17:00:00,2026-06-24 20:00:00,LONG,2.734,2.8775,5.167,3,tp,0.9724,雷泽归妹,震,兑,1.0
2026-06-24 20:00:00,2026-06-25 05:00:00,LONG,2.878,3.0075,4.417,9,tp,0.8843,泽风大过,兑,巽,1.0
2026-06-25 05:00:00,2026-06-25 13:00:00,SHORT,2.974,2.8179,5.171,8,tp,0.9503,水雷屯,坎,震,1.0
2026-06-25 13:00:00,2026-06-25 23:00:00,LONG,2.754,2.8986,5.167,10,tp,0.9364,泽雷随,兑,震,1.0
2026-06-25 23:00:00,2026-06-26 02:00:00,LONG,2.887,2.8004,-3.079,3,sl,0.6105,山风蛊,艮,巽,0.8
2026-06-26 02:00:00,2026-06-26 03:00:00,LONG,2.793,2.8768,2.918,1,tp,0.9501,雷水解,震,坎,0.8
2026-06-26 03:00:00,2026-06-26 16:00:00,LONG,2.874,2.9602,2.918,13,tp,0.9387,泽山咸,兑,艮,0.8
2026-06-26 17:00:00,2026-06-27 09:00:00,SHORT,3.006,2.9158,2.921,16,tp,0.9144,雷地豫,震,坤,0.5
2026-06-27 09:00:00,2026-06-28 02:00:00,LONG,2.926,2.913,-0.524,17,end,0.5105,泽风大过,兑,巽,1.0
2026-06-28 03:00:00,2026-06-29 17:00:00,SHORT,2.921,3.0086,-3.082,38,sl,0.7378,泽山咸,兑,艮,0.5
2026-06-29 17:00:00,2026-06-30 08:00:00,SHORT,2.99,2.833,5.171,15,tp,0.9893,水雷屯,坎,震,1.0
2026-06-30 08:00:00,2026-07-02 11:00:00,SHORT,2.833,2.9392,-3.832,51,sl,0.9118,水火既济,坎,离,1.0
